Baranggay,Year,Month,Max Temperature,Min Temperature,Max Humidity,Min Humidity,Daily Precipitation,Forest Land Percentage,Elevation,Soil Type,Dengue Cases
Lapu-Lapu,2019,MAY,32.6,22.3,87,76,6.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,JUNE,34.1,22.3,82.4,66,3.6,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,JULY,34.2,22.1,89,77,9.9,11.55,Low,Camasan sandy clay loam,3
Lapu-Lapu,2019,AUG,34.1,21,86,71,5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,SEPT,34.5,21,87,68,1.6,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,OCT,32.7,20,88,75,3.5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,NOV,31.7,20.1,88,78,5.6,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2019,DEC,31.9,20.2,90.5,76.7,6.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,JAN,32.2,22.7,90,71,4.5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,FEB,32.4,22.1,89,72,1.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,MAR,34.1,23,87,76,2.2,11.55,Low,Camasan sandy clay loam,2
Lapu-Lapu,2020,APR,35,23.8,82,90,1.8,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,MAY,34.4,24.9,89,76,7.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,JUNE,34,23.5,89.8,78,9.6,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,JULY,33.8,23.5,87,74,4.5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,AUG,33.7,22.8,91,70,17.7,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,SEPT,34,23.3,88,72,4.3,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,OCT,33.7,23.5,89,71,7.8,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,NOV,33.6,23,88,76,8.4,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2020,DEC,32.9,21.8,91.9,77.4,5.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,JAN,34.7,27.5,82,68,0.7,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,FEB,34.3,25.4,83,70,1.8,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2021,MAR,35.8,25.5,78,64,1,11.55,Low,Camasan sandy clay loam,0
